Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²)
11/07/2021 14:50,11/07/2021 19:50,117,105,15.1,23.5,32.7,69,1014.7,0,689
11/07/2021 14:40,11/07/2021 19:40,127,120,13.1,21.8,33.2,67,1014.9,0,667
11/07/2021 14:30,11/07/2021 19:30,134,128,11.9,20.6,33,67,1014.9,0,517
11/07/2021 14:20,11/07/2021 19:20,131,123,13.9,21.8,33,66,1015.1,0,538
11/07/2021 14:10,11/07/2021 19:10,128,127,13.4,22.9,33.2,66,1015.2,0,573
11/07/2021 14:00,11/07/2021 19:00,125,120,12.3,21.2,33.1,66,1015.2,0,702
11/07/2021 13:50,11/07/2021 18:50,127,125,13,20.6,33.1,67,1015.1,0,652
11/07/2021 13:40,11/07/2021 18:40,128,118,12.8,18.9,32.9,68,1015.1,0,917
11/07/2021 13:30,11/07/2021 18:30,126,118,13.5,22.3,32.7,69,1015.2,0,929
11/07/2021 13:20,11/07/2021 18:20,123,111,13.5,23.5,32.7,69,1015.3,0,918
11/07/2021 13:10,11/07/2021 18:10,132,160,12.9,22.3,32.4,68,1015.4,0,965
11/07/2021 13:00,11/07/2021 18:00,128,113,13.9,21.8,32.1,69,1015.3,0,923
11/07/2021 12:50,11/07/2021 17:50,130,117,10.9,20.6,32.4,69,1015.4,0,589
11/07/2021 12:40,11/07/2021 17:40,135,103,11.2,18.9,32.4,69,1015.5,0,735
11/07/2021 12:30,11/07/2021 17:30,129,128,11.8,20.6,32.1,69,1015.6,0,736
11/07/2021 12:20,11/07/2021 17:20,126,126,13.8,24.6,32.5,67,1015.7,0,706
11/07/2021 12:10,11/07/2021 17:10,137,116,13.2,22.3,32.7,67,1015.7,0,856
11/07/2021 12:00,11/07/2021 17:00,135,118,12.3,21.8,32.8,66,1015.7,0,923
11/07/2021 11:50,11/07/2021 16:50,142,141,11.9,21.8,32.9,66,1015.8,0,942
11/07/2021 11:40,11/07/2021 16:40,125,118,11.4,20.6,33.1,66,1015.9,0,844
11/07/2021 11:30,11/07/2021 16:30,137,116,11,17.2,32.8,67,1015.8,0,916
11/07/2021 11:20,11/07/2021 16:20,142,164,12.3,22.3,32.7,66,1015.8,0,883
11/07/2021 11:10,11/07/2021 16:10,146,142,13.3,21.2,32.6,67,1015.8,0,808
11/07/2021 11:00,11/07/2021 16:00,132,157,11.6,25.2,32.7,67,1015.7,0,877
11/07/2021 10:50,11/07/2021 15:50,127,101,12.9,20,32.6,67,1015.6,0,849
11/07/2021 10:40,11/07/2021 15:40,133,158,10.8,17.2,32.6,68,1015.6,0,756
11/07/2021 10:30,11/07/2021 15:30,135,155,10.9,18.9,32.6,68,1015.6,0,803
11/07/2021 10:20,11/07/2021 15:20,137,152,10.7,18.3,32.5,67,1015.5,0,709
11/07/2021 10:10,11/07/2021 15:10,128,172,10.9,18.3,32.5,68,1015.4,0,704
11/07/2021 10:00,11/07/2021 15:00,126,162,11.4,16.6,32.2,69,1015.3,0,684
11/07/2021 09:50,11/07/2021 14:50,122,110,11.7,18.3,32.1,69,1015.4,0,657
11/07/2021 09:40,11/07/2021 14:40,125,109,11,16.6,31.7,69,1015.4,0,623
11/07/2021 09:30,11/07/2021 14:30,128,117,11.1,20.6,31.4,72,1015.4,0,558
11/07/2021 09:20,11/07/2021 14:20,129,137,11.4,18.3,31.4,72,1015.2,0,528
11/07/2021 09:10,11/07/2021 14:10,125,111,13.2,22.3,31.2,71,1015.1,0,524
11/07/2021 09:00,11/07/2021 14:00,128,123,12.3,23.5,31,72,1015,0,492
11/07/2021 08:50,11/07/2021 13:50,120,114,13.1,22.3,30.8,72,1015,0,454
11/07/2021 08:40,11/07/2021 13:40,121,116,14.2,22.3,30.7,72,1015,0,418
11/07/2021 08:30,11/07/2021 13:30,126,105,12,20,30.6,72,1015.1,0,382
11/07/2021 08:20,11/07/2021 13:20,117,129,10.9,20.6,30.3,75,1015.2,0,344
11/07/2021 08:10,11/07/2021 13:10,115,120,15.3,22.9,29.9,77,1015,0,310
11/07/2021 08:00,11/07/2021 13:00,117,118,14.8,24.1,29.7,79,1014.9,0,275
11/07/2021 07:50,11/07/2021 12:50,120,122,11.4,20,29.3,83,1014.8,0,254
11/07/2021 07:40,11/07/2021 12:40,121,115,9.6,18.3,28.6,90,1014.6,0,208
11/07/2021 07:30,11/07/2021 12:30,115,108,9.2,14.3,28,93,1014.6,0,131
11/07/2021 07:20,11/07/2021 12:20,111,107,10.6,14.3,27.8,93,1014.5,0,53
11/07/2021 07:10,11/07/2021 12:10,111,112,11.2,16.6,27.8,95,1014.4,0,51
11/07/2021 07:00,11/07/2021 12:00,113,108,10.5,16.6,27.6,99,1014.4,0,52
11/07/2021 06:50,11/07/2021 11:50,117,119,9.4,13.1,27.4,100,1014.3,0,37
11/07/2021 06:40,11/07/2021 11:40,114,107,10.2,16,27.3,100,1014.3,0,22
11/07/2021 06:30,11/07/2021 11:30,105,120,11.3,16,27.2,100,1014.4,0,11
11/07/2021 06:20,11/07/2021 11:20,108,108,11.9,16.6,27,100,1014.4,0,3
11/07/2021 06:10,11/07/2021 11:10,111,109,11.3,16.6,26.9,100,1014.4,0,0
11/07/2021 06:00,11/07/2021 11:00,115,117,8.6,13.1,26.9,100,1014.3,0,-2
11/07/2021 05:50,11/07/2021 10:50,109,102,8,12,26.9,100,1014.3,0,-2
11/07/2021 05:40,11/07/2021 10:40,114,116,8,11.4,26.9,100,1014.3,0,-2
11/07/2021 05:30,11/07/2021 10:30,119,115,7.6,11.4,26.9,100,1014.3,0,-2
11/07/2021 05:20,11/07/2021 10:20,116,107,8.6,12.5,27,100,1014.4,0,-2
11/07/2021 05:10,11/07/2021 10:10,119,115,6.6,11.4,27,100,1014.5,0,-2
11/07/2021 05:00,11/07/2021 10:00,118,111,7,10.2,27.2,100,1014.4,0,-2
11/07/2021 04:50,11/07/2021 09:50,109,102,9.5,13.7,27.3,100,1014.3,0,-2
11/07/2021 04:40,11/07/2021 09:40,108,105,9.7,14.3,27.4,100,1014.3,0,-2
